form,section,table_index,row_index,col_index,row_label,cell_label,canonical_path,is_target,cell_role,required,rule,source_evidence,notes
B24,TEST PLATE OR TANK CAR MATERIALS,3,2,1,Insert Material,,materials.insert.material,true,target,true,fill_if_confident,MTR / material cert,
B24,SPECIAL PROCESS (Welding),4,0,1,Welder / Operator ID,,welding.welder.id,true,target,true,fill_if_confident,welder qualification record,
B24,SPECIAL PROCESS (Welding),4,1,1,WPS Traceable to the PITP,,welding.wps.id,true,target,true,fill_if_confident,WPS / PITP,
B24,SPECIAL PROCESS (Welding),4,2,1,PQR supporting the WPS,,welding.pqr.id,true,target,true,fill_if_confident,PQR,
B24,SPECIAL PROCESS (Welding),4,3,1,Observed Voltage Reading,,welding.observed.voltage,true,target,true,fill_if_confident,welding record,
B24,SPECIAL PROCESS (Welding),4,4,1,Observed Amperage Reading,,welding.observed.amperage,true,target,true,fill_if_confident,welding record,
B24,NDT,5,0,1,NDT Technician ID,,ndt.tech.id,true,target,true,fill_if_confident,NDT certification / NDT report,
B24,NDT,5,1,1,NDT Level,,ndt.tech.level,true,target,true,fill_if_confident,NDT certification,
B24,NDT,5,2,1,NDT Method,,ndt.method,true,target,true,fill_if_confident,NDT procedure/report,
B24,NDT,5,3,1,Record/Form ID,,ndt.record.id,true,target,true,fill_if_confident,NDT report,
B24,NDT,5,4,1,Result,,ndt.result,true,target,true,fill_if_confident,NDT report,
B24,LPWHT,6,0,1,Heat Treatment Technician ID,,lpwht.tech.id,true,target,false,fill_if_applicable,LPWHT record,
B24,LPWHT,6,1,1,LPWHT Procedure,,lpwht.procedure.id,true,target,false,fill_if_applicable,LPWHT procedure,
B24,LPWHT,6,2,1,LPWHT Record/Form ID,,lpwht.record.id,true,target,false,fill_if_applicable,LPWHT record,
B24,QUALITY RECORDS AND TEST RECORDS,7,0,1,TCID Procedure,,tcid.procedure.id,true,target,true,fill_if_confident,TCID procedure,
B24,QUALITY RECORDS AND TEST RECORDS,7,1,1,Record/Form ID,,tcid.record.id,true,target,true,fill_if_confident,TCID record,
B24,QUALITY RECORDS AND TEST RECORDS,7,2,1,Result,,tcid.result,true,target,true,fill_if_confident,TCID record,
B24,QUALITY RECORDS AND TEST RECORDS,7,3,1,Description of work performed,,tcid.work_description,true,target,true,fill_if_confident,TCID record / car file,
B81,CAR OWNER PERMISSIONS,0,0,1,Tank Car Owner Name,,tco.name,true,target,true,fill_if_confident,TCO permission document,
B81,CAR OWNER PERMISSIONS,0,1,1,Date Permission/Instruction Received from TCO,,tco.permission_date,true,target,true,fill_if_confident,TCO letter/email,
B81,CAR OWNER PERMISSIONS,0,2,1,Written Instructions from TCO,,tco.instructions,true,target,true,fill_if_confident,TCO written instructions,
B81,DESIGN CONTROL,1,0,1,Car Mark and Number,,car.mark,true,target,true,fill_if_confident,car stencil / car file,
B81,DESIGN CONTROL,1,1,1,Tank Car Design Specification,,car.design_spec,true,target,true,fill_if_confident,AAR Form 4-2 / drawing,
B81,DESIGN CONTROL,1,2,1,Stencil Specification,,car.stencil_spec,true,target,false,fill_if_confident,stencil record,
B81,DESIGN CONTROL,1,3,1,AAR Form 4-2 (AAR No.),,aar.form_4_2.number,true,target,true,fill_if_confident,AAR Form 4-2,
B81,DOCUMENT,2,0,1,PITP Document Name,,pitp.name,true,target,true,fill_if_confident,PITP document,
B81,DOCUMENT,2,1,1,PITP ID,,pitp.id,true,target,true,fill_if_confident,PITP document,
B81,DOCUMENT,2,2,1,Approved By,,pitp.approved_by,true,target,true,fill_if_confident,PITP approval,
B81,DOCUMENT,2,3,1,Date Approved,,pitp.date_approved,true,target,true,fill_if_confident,PITP approval,
B81,TANK QUALIFICATION,2,4,1,Tank Qualification Procedure,,tank_qualification.procedure.id,true,target,true,fill_if_confident,tank qualification procedure,
B81,TANK QUALIFICATION,2,5,1,Record/Form ID,,tank_qualification.record.id,true,target,true,fill_if_confident,tank qualification record,
B81,NDT,3,0,1,NDT Technician ID,,ndt.tech.id,true,target,true,fill_if_confident,NDT certification,
B81,NDT,3,1,1,NDT Level,,ndt.tech.level,true,target,true,fill_if_confident,NDT certification,
B81,NDT,3,2,1,NDT Method(s),,ndt.method,true,target,true,fill_if_confident,NDT procedure/report,
B81,NDT,3,3,1,Result,,ndt.result,true,target,true,fill_if_confident,NDT report,
B81,QUALIFICATION STENCIL,4,0,1,Station Stencil,,stencil.station,true,target,false,fill_if_applicable,stencil record,
B81,QUALIFICATION STENCIL,4,1,1,Qualified Date,,stencil.qualified_date,true,target,false,fill_if_applicable,qualification stencil,
B81,QUALIFICATION STENCIL,4,2,1,Due Date,,stencil.due_date,true,target,false,fill_if_applicable,qualification stencil,
B81,QUALITY RECORDS AND TEST RECORDS,5,0,1,TCID Procedure,,tcid.procedure.id,true,target,true,fill_if_confident,TCID procedure,
B81,QUALITY RECORDS AND TEST RECORDS,5,1,1,Record/Form ID,,tcid.record.id,true,target,true,fill_if_confident,TCID record,
B81,QUALITY RECORDS AND TEST RECORDS,5,2,1,Result,,tcid.result,true,target,true,fill_if_confident,TCID record,
B81,QUALITY RECORDS AND TEST RECORDS,5,3,1,Description of work performed,,tcid.work_description,true,target,true,fill_if_confident,TCID record / car file,
B89,CAR OWNER PERMISSIONS,0,0,1,Tank Car Owner Name,,tco.name,true,target,true,fill_if_confident,TCO permission document,
B89,CAR OWNER PERMISSIONS,0,1,1,Date Permission Received from TCO,,tco.permission_date,true,target,true,fill_if_confident,TCO letter/email,
B89,CAR OWNER PERMISSIONS,0,2,1,Written Instructions from TCO,,tco.instructions,true,target,true,fill_if_confident,TCO written instructions,
B89,DESIGN CONTROL,1,0,1,Car Mark and Number,,car.mark,true,target,true,fill_if_confident,car stencil / car file,
B89,DESIGN CONTROL,1,1,1,Tank Car Design Spec/Stencil Spec,,car.design_spec,true,target,true,fill_if_confident,AAR Form 4-2 / drawing,
B89,DESIGN CONTROL,1,2,1,Safety System Type,,safety_system.type,true,target,true,fill_if_confident,design record,
B89,DESIGN CONTROL,1,3,1,AAR Form 4-2 (AAR No.),,aar.form_4_2.number,true,target,true,fill_if_confident,AAR Form 4-2,
B89,MATERIALS,2,0,1,Insulation Material Specification,,materials.insulation.spec,true,target,true,fill_if_confident,material cert,
B89,MATERIALS,2,1,1,Jacket Material Specification,,materials.jacket.spec,true,target,true,fill_if_confident,material cert,
B89,TEST FIXTURE,2,2,1,Observed Size of Patch Plate,,test_fixture.patch_plate.size,true,target,true,fill_if_confident,inspection/demonstration record,
B89,TEST FIXTURE,2,3,1,Observed Weld Length,,test_fixture.weld.length,true,target,true,fill_if_confident,inspection/demonstration record,
B89,PROCEDURES,3,0,1,PITP Document Name,,pitp.name,true,target,true,fill_if_confident,PITP document,
B89,PROCEDURES,3,1,1,PITP ID,,pitp.id,true,target,true,fill_if_confident,PITP document,
B89,PROCEDURES,3,2,1,Insulation Inspection/Qualification Procedure,,safety_system.procedure.id,true,target,true,fill_if_confident,procedure,
B89,SPECIAL PROCESSES (Welding),4,0,1,Welder / Operator ID,,welding.welder.id,true,target,true,fill_if_confident,welder qualification record,
B89,SPECIAL PROCESSES (Welding),4,1,1,WPS Traceable to the PITP,,welding.wps.id,true,target,true,fill_if_confident,WPS / PITP,
B89,SPECIAL PROCESSES (Welding),4,2,1,Observed Voltage,,welding.observed.voltage,true,target,true,fill_if_confident,welding record,
B89,WELD INSPECTION OR NDT,5,0,1,NDT Technician ID,,ndt.tech.id,true,target,false,fill_if_applicable,NDT certification / inspection record,
B89,WELD INSPECTION OR NDT,5,1,1,NDT Method(s),,ndt.method,true,target,false,fill_if_applicable,NDT procedure/report,
B89,WELD INSPECTION OR NDT,5,2,1,Record/Form ID,,ndt.record.id,true,target,false,fill_if_applicable,NDT report,
B89,QUALITY RECORDS AND TEST RECORDS,6,0,1,TCID Procedure,,tcid.procedure.id,true,target,true,fill_if_confident,TCID procedure,
B89,QUALITY RECORDS AND TEST RECORDS,6,1,1,Record/Form ID,,tcid.record.id,true,target,true,fill_if_confident,TCID record,
B89,QUALITY RECORDS AND TEST RECORDS,6,2,1,Result,,tcid.result,true,target,true,fill_if_confident,TCID record,
B89,QUALITY RECORDS AND TEST RECORDS,6,3,1,Description of work performed,,tcid.work_description,true,target,true,fill_if_confident,TCID record / car file,
B90,CAR OWNER PERMISSIONS,0,0,1,Tank Car Owner Name,,tco.name,true,target,true,fill_if_confident,TCO permission document,
B90,CAR OWNER PERMISSIONS,0,1,1,Date Permission Received from TCO,,tco.permission_date,true,target,true,fill_if_confident,TCO letter/email,
B90,CAR OWNER PERMISSIONS,0,2,1,Written Instructions from TCO,,tco.instructions,true,target,true,fill_if_confident,TCO written instructions,
B90,DESIGN CONTROL,1,0,1,Car Mark and Number,,car.mark,true,target,true,fill_if_confident,car stencil / car file,
B90,DESIGN CONTROL,1,1,1,Tank Car Design Specification,,car.design_spec,true,target,true,fill_if_confident,AAR Form 4-2 / drawing,
B90,DESIGN CONTROL,1,2,1,Stencil Specification,,car.stencil_spec,true,target,false,fill_if_confident,stencil record,
B90,DESIGN CONTROL,1,3,1,Stub Sill Type,,stub_sill.type,true,target,true,fill_if_confident,design record,
B90,DESIGN CONTROL,1,4,1,AAR Form 4-2 (AAR No.),,aar.form_4_2.number,true,target,true,fill_if_confident,AAR Form 4-2,
B90,MATERIALS,1,5,1,Material Specification,,materials.stub_sill.spec,true,target,true,fill_if_confident,material cert,
B90,PROCEDURE,2,0,1,PITP Document Name,,pitp.name,true,target,true,fill_if_confident,PITP document,
B90,PROCEDURE,2,1,1,PITP ID,,pitp.id,true,target,true,fill_if_confident,PITP document,
B90,PROCEDURE,2,2,1,Procedure ID,,stub_sill.procedure.id,true,target,true,fill_if_confident,stub sill procedure,
B90,SPECIAL PROCESS (Welding),2,3,1,Welder / Operator ID,,welding.welder.id,true,target,true,fill_if_confident,welder qualification record,
B90,SPECIAL PROCESS (Welding),2,4,1,WPS Traceable to the PITP,,welding.wps.id,true,target,true,fill_if_confident,WPS / PITP,
B90,SPECIAL PROCESS (Welding),2,5,1,Observed Voltage Reading,,welding.observed.voltage,true,target,true,fill_if_confident,welding record,
B90,NDT,3,0,1,NDT Technician ID,,ndt.tech.id,true,target,true,fill_if_confident,NDT certification,
B90,NDT,3,1,1,NDT Level,,ndt.tech.level,true,target,true,fill_if_confident,NDT certification,
B90,NDT,3,2,1,NDT Method(s),,ndt.method,true,target,true,fill_if_confident,NDT procedure/report,
B90,NDT,3,3,1,Record/Form ID,,ndt.record.id,true,target,true,fill_if_confident,NDT report,
B90,QUALITY RECORDS AND TEST RECORDS,4,0,1,TCID Procedure,,tcid.procedure.id,true,target,true,fill_if_confident,TCID procedure,
B90,QUALITY RECORDS AND TEST RECORDS,4,1,1,Record/Form ID,,tcid.record.id,true,target,true,fill_if_confident,TCID record,
B90,QUALITY RECORDS AND TEST RECORDS,4,2,1,Result,,tcid.result,true,target,true,fill_if_confident,TCID record,
B90,QUALITY RECORDS AND TEST RECORDS,4,3,1,Description of work performed,,tcid.work_description,true,target,true,fill_if_confident,TCID record / car file,
Cover,GENERAL INFORMATION,0,0,1,Station Stencil/QA Code,,audit.station_stencil,true,target,true,fill_if_confident,cover sheet / audit assignment,
Cover,GENERAL INFORMATION,0,1,1,Audit Type,,audit.type,true,target,true,fill_if_confident,audit assignment,
Cover,GENERAL INFORMATION,0,2,1,Facility Workforce Size,,audit.facility_workforce_size,true,target,false,fill_if_confident,facility information,
Cover,GENERAL INFORMATION,0,3,1,Open Meeting Date,,audit.open_meeting_date,true,target,true,fill_if_confident,audit schedule / cover sheet,
Cover,GENERAL INFORMATION,0,4,1,Closing Meeting Date,,audit.closing_meeting_date,true,target,true,fill_if_confident,audit schedule / cover sheet,
Cover,GENERAL INFORMATION,0,5,1,BOE Lead Auditor,,audit.lead_auditor,true,target,true,fill_if_confident,audit assignment,
Cover,GENERAL INFORMATION,0,6,1,AAR Audit Team Size,,audit.team_size,true,target,false,fill_if_confident,audit assignment,
Cover,ACTIVITY CODES,1,0,1,B24 Auditor Assigned,,activity.B24.auditor,true,target,false,fill_if_confident,audit plan,
Cover,ACTIVITY CODES,1,0,2,B24 Findings Count,,activity.B24.findings_count,true,target,false,fill_if_confident,audit results,
Cover,ACTIVITY CODES,1,1,1,B81 Auditor Assigned,,activity.B81.auditor,true,target,false,fill_if_confident,audit plan,
Cover,ACTIVITY CODES,1,2,1,B89 Auditor Assigned,,activity.B89.auditor,true,target,false,fill_if_confident,audit plan,
Cover,ACTIVITY CODES,1,3,1,B90 Auditor Assigned,,activity.B90.auditor,true,target,false,fill_if_confident,audit plan,
Cover,ATTENDANCE,2,0,1,Name,,attendance.name,true,target,true,repeat_row,audit attendance sheet,
Cover,ATTENDANCE,2,0,2,Title,,attendance.title,true,target,true,repeat_row,audit attendance sheet,
Cover,ATTENDANCE,2,0,3,Company,,attendance.company,true,target,true,repeat_row,audit attendance sheet,
Cover,PUBLICATIONS,3,0,1,AAR MSRP Section C Part III M-1002 Version,,publications.m1002.version,true,target,true,fill_if_confident,publication access evidence,
Cover,PUBLICATIONS,3,1,1,AAR MSRP Section J M-1003 Version,,publications.m1003.version,true,target,true,fill_if_confident,publication access evidence,
Cover,QA PROCEDURES,4,0,1,Procedure ID,,qa_procedures.procedure_id,true,target,true,repeat_row,QA manual / procedure list,
Cover,QA PROCEDURES,4,0,2,Approved By,,qa_procedures.approved_by,true,target,true,repeat_row,procedure approval,
Cover,QA PROCEDURES,4,0,3,Date Approved,,qa_procedures.date_approved,true,target,true,repeat_row,procedure approval,
Cover,QA TRAINING,5,0,1,Personnel ID,,qa_training.personnel_id,true,target,true,repeat_row,training record,
Cover,QA TRAINING,5,0,2,Procedure ID,,qa_training.procedure_id,true,target,true,repeat_row,training record,
Cover,QA TRAINING,5,0,3,Training Date,,qa_training.training_date,true,target,true,repeat_row,training record,
Cover,NDT ADMIN,6,0,1,NDT Level III ID,,ndt_admin.level_iii_id,true,target,false,repeat_row,NDT certification,
Cover,SUBCONTRACTED SERVICES,7,0,1,Company Name,,subcontractors.company,true,target,false,repeat_row,Exhibit B-1,
Cover,MOBILE OPERATIONS,8,0,1,Mobile Unit ID,,mobile_units.id,true,target,false,repeat_row,mobile unit record,
Cover,AUDITOR ATTESTATION,8,1,1,Lead Auditor Name,,attestation.lead_auditor,true,target,true,fill_if_confident,auditor attestation,
Cover,AUDITOR ATTESTATION,8,2,1,Signature Date,,attestation.signature_date,true,target,true,fill_if_confident,auditor attestation,
